Kabul,Afghanistan
Batna,Algeria
Bchar,Algeria
Skikda,Algeria
Tafuna,American Samoa
Benguela,Angola
Namibe,Angola
South Hill,Anguilla
Almirante Brown,Argentina
Avellaneda,Argentina
Baha Blanca,Argentina
Crdoba,Argentina
Escobar,Argentina
Ezeiza,Argentina
La Plata,Argentina
Merlo,Argentina
Quilmes,Argentina
San Miguel de Tucumn,Argentina
Santa F,Argentina
Tandil,Argentina
Vicente Lpez,Argentina
Yerevan,Armenia
Woodridge,Australia
Graz,Austria
Linz,Austria
Salzburg,Austria
Baku,Azerbaijan
Sumqayit,Azerbaijan
al-Manama,Bahrain
Dhaka,Bangladesh
Jamalpur,Bangladesh
Tangail,Bangladesh
Mogiljov,Belarus
Molodetno,Belarus
El Alto,Bolivia
Sucre,Bolivia
Alvorada,Brazil
Angra dos Reis,Brazil
Anpolis,Brazil
Aparecida de Goinia,Brazil
Araatuba,Brazil
Bag,Brazil
Belm,Brazil
Blumenau,Brazil
Boa Vista,Brazil
Braslia,Brazil
Goinia,Brazil
Guaruj,Brazil
guas Lindas de Gois,Brazil
Ibirit,Brazil
Juazeiro do Norte,Brazil
Juiz de Fora,Brazil
Luzinia,Brazil
Maring,Brazil
Po,Brazil
Poos de Caldas,Brazil
Rio Claro,Brazil
Santa Brbara dOeste,Brazil
Santo Andr,Brazil
So Bernardo do Campo,Brazil
So Leopoldo,Brazil
Sorocaba,Brazil
Vila Velha,Brazil
Vitria de Santo Anto,Brazil
Bandar Seri Begawan,Brunei
Ruse,Bulgaria
Stara Zagora,Bulgaria
Battambang,Cambodia
Phnom Penh,Cambodia
Bamenda,Cameroon
Yaound,Cameroon
Gatineau,Canada
Halifax,Canada
Lethbridge,Canada
London,Canada
Oshawa,Canada
Richmond Hill,Canada
Vancouver,Canada
NDjamna,Chad
Antofagasta,Chile
Coquimbo,Chile
Rancagua,Chile
Baicheng,China
Baiyin,China
Binzhou,China
Changzhou,China
Datong,China
Daxian,China
Dongying,China
Emeishan,China
Enshi,China
Ezhou,China
Fuyu,China
Fuzhou,China
Haining,China
Hami,China
Hohhot,China
Huaian,China
Jinchang,China
Jining,China
Jinzhou,China
Junan,China
Korla,China
Laiwu,China
Laohekou,China
Lengshuijiang,China
Leshan,China
Liaocheng,China
Meixian,China
Nanyang,China
Pingxiang,China
Qinhuangdao,China
Rizhao,China
Sanya,China
Shanwei,China
Shaoguan,China
Shenzhen,China
Suihua,China
Tianjin,China
Tiefa,China
Tieli,China
Tongliao,China
Weifang,China
Xiangfan,China
Xiangtan,China
Xintai,China
Xinxiang,China
Yantai,China
Yinchuan,China
Yingkou,China
Yuncheng,China
Yuzhou,China
Zalantun,China
Zaoyang,China
Zhoushan,China
Buenaventura,Colombia
Dos Quebradas,Colombia
Florencia,Colombia
Pereira,Colombia
Sincelejo,Colombia
Sogamoso,Colombia
Lubumbashi,Congo\ The Democratic Republic of the
Mwene-Ditu,Congo\ The Democratic Republic of the
Olomouc,Czech Republic
La Romana,Dominican Republic
San Felipe de Puerto Plata,Dominican Republic
Santiago de los Caballeros,Dominican Republic
Loja,Ecuador
Portoviejo,Ecuador
Robamba,Ecuador
Bilbays,Egypt
Idfu,Egypt
Mit Ghamr,Egypt
Qalyub,Egypt
Sawhaj,Egypt
Shubra al-Khayma,Egypt
Tartu,Estonia
Addis Abeba,Ethiopia
Trshavn,Faroe Islands
Oulu,Finland
Brest,France
Le Mans,France
Toulon,France
Toulouse,France
Cayenne,French Guiana
Faaa,French Polynesia
Papeete,French Polynesia
Banjul,Gambia
Duisburg,Germany
Erlangen,Germany
Halle/Saale,Germany
Mannheim,Germany
Saarbrcken,Germany
Siegen,Germany
Witten,Germany
Athenai,Greece
Patras,Greece
Nuuk,Greenland
Citt del Vaticano,Holy See (Vatican City State)
Kowloon and New Kowloon,Hong Kong
Szkesfehrvr,Hungary
Adoni,India
Ahmadnagar,India
Allappuzha (Alleppey),India
Ambattur,India
Amroha,India
Balurghat,India
Berhampore (Baharampur),India
Bhavnagar,India
Bhilwara,India
Bhimavaram,India
Bhopal,India
Bhusawal,India
Bijapur,India
Chandrapur,India
Chapra,India
Dhule (Dhulia),India
Etawah,India
Firozabad,India
Gandhinagar,India
Gulbarga,India
Haldia,India
Halisahar,India
Hoshiarpur,India
Hubli-Dharwad,India
Jaipur,India
Jhansi,India
Jodhpur,India
Kamarhati,India
Kanchrapara,India
Karnal,India
Katihar,India
Kumbakonam,India
Miraj,India
Munger (Monghyr),India
Mysore,India
Nagaon,India
Palghat (Palakkad),India
Parbhani,India
Pathankot,India
Patiala,India
Pudukkottai,India
Pune,India
Purnea (Purnia),India
Rae Bareli,India
Rajkot,India
Rampur,India
Ranchi,India
Sambhal,India
Satna,India
Shimoga,India
Shivapuri,India
Siliguri (Shiliguri),India
Tambaram,India
Udaipur,India
Uluberia,India
Uttarpara-Kotrung,India
Valparai,India
Varanasi (Benares),India
Vijayawada,India
Yamuna Nagar,India
Cianjur,Indonesia
Ciomas,Indonesia
Ciparay,Indonesia
Gorontalo,Indonesia
Jakarta,Indonesia
Lhokseumawe,Indonesia
Madiun,Indonesia
Pangkal Pinang,Indonesia
Pemalang,Indonesia
Pontianak,Indonesia
Probolinggo,Indonesia
Purwakarta,Indonesia
Surakarta,Indonesia
Tegal,Indonesia
Arak,Iran
Esfahan,Iran
Kermanshah,Iran
Najafabad,Iran
Qomsheh,Iran
Shahr-e Kord,Iran
Sirjan,Iran
Tabriz,Iran
Mosul,Iraq
Ashdod,Israel
Ashqelon,Israel
Bat Yam,Israel
Tel Aviv-Jaffa,Israel
Alessandria,Italy
Bergamo,Italy
Brescia,Italy
Brindisi,Italy
Livorno,Italy
Syrakusa,Italy
Udine,Italy
Akishima,Japan
Fukuyama,Japan
Higashiosaka,Japan
Hino,Japan
Hiroshima,Japan
Isesaki,Japan
Iwaki,Japan
Iwakuni,Japan
Iwatsuki,Japan
Izumisano,Japan
Kakamigahara,Japan
Kamakura,Japan
Kanazawa,Japan
Koriyama,Japan
Kurashiki,Japan
Kuwana,Japan
Matsue,Japan
Miyakonojo,Japan
Nagareyama,Japan
Okayama,Japan
Okinawa,Japan
Omiya,Japan
Onomichi,Japan
Otsu,Japan
Sagamihara,Japan
Sasebo,Japan
Shimonoseki,Japan
Tama,Japan
Tsuyama,Japan
Ueda,Japan
Urawa,Japan
Pavlodar,Kazakstan
Zhezqazghan,Kazakstan
Kisumu,Kenya
Nyeri,Kenya
Jalib al-Shuyukh,Kuwait
Daugavpils,Latvia
Liepaja,Latvia
Vaduz,Liechtenstein
Vilnius,Lithuania
Mahajanga,Madagascar
Lilongwe,Malawi
Ipoh,Malaysia
Kuching,Malaysia
Sungai Petani,Malaysia
Acua,Mexico
Allende,Mexico
Atlixco,Mexico
Carmen,Mexico
Celaya,Mexico
Coacalco de Berriozbal,Mexico
Coatzacoalcos,Mexico
Cuauhtmoc,Mexico
Cuautla,Mexico
Cuernavaca,Mexico
El Fuerte,Mexico
Guadalajara,Mexico
Hidalgo,Mexico
Huejutla de Reyes,Mexico
Huixquilucan,Mexico
Jos Azueta,Mexico
Jurez,Mexico
La Paz,Mexico
Matamoros,Mexico
Mexicali,Mexico
Monclova,Mexico
Nezahualcyotl,Mexico
Pachuca de Soto,Mexico
Salamanca,Mexico
San Felipe del Progreso,Mexico
San Juan Bautista Tuxtepec,Mexico
Torren,Mexico
Uruapan,Mexico
Valle de Santiago,Mexico
Zapopan,Mexico
Chisinau,Moldova
Beni-Mellal,Morocco
Nador,Morocco
Sal,Morocco
Beira,Mozambique
Naala-Porto,Mozambique
Tete,Mozambique
Monywa,Myanmar
Myingyan,Myanmar
Yangor,Nauru
Birgunj,Nepal
Amersfoort,Netherlands
Apeldoorn,Netherlands
Ede,Netherlands
Emmen,Netherlands
s-Hertogenbosch,Netherlands
Hamilton,New Zealand
Benin City,Nigeria
Deba Habe,Nigeria
Effon-Alaiye,Nigeria
Ife,Nigeria
Ikerre,Nigeria
Ilorin,Nigeria
Kaduna,Nigeria
Ogbomosho,Nigeria
Ondo,Nigeria
Owo,Nigeria
Oyo,Nigeria
Sokoto,Nigeria
Zaria,Nigeria
Pyongyang,North Korea
Masqat,Oman
Salala,Oman
Dadu,Pakistan
Mandi Bahauddin,Pakistan
Mardan,Pakistan
Okara,Pakistan
Shikarpur,Pakistan
Asuncin,Paraguay
Ciudad del Este,Paraguay
San Lorenzo,Paraguay
Callao,Peru
Hunuco,Peru
Lima,Peru
Sullana,Peru
Baybay,Philippines
Bayugan,Philippines
Bislig,Philippines
Cabuyao,Philippines
Cavite,Philippines
Davao,Philippines
Gingoog,Philippines
Hagonoy,Philippines
Iligan,Philippines
Imus,Philippines
Lapu-Lapu,Philippines
Mandaluyong,Philippines
Ozamis,Philippines
Santa Rosa,Philippines
Taguig,Philippines
Talavera,Philippines
Tanauan,Philippines
Tanza,Philippines
Tarlac,Philippines
Tuguegarao,Philippines
Bydgoszcz,Poland
Czestochowa,Poland
Jastrzebie-Zdrj,Poland
Kalisz,Poland
Lublin,Poland
Plock,Poland
Tychy,Poland
Wroclaw,Poland
Arecibo,Puerto Rico
Ponce,Puerto Rico
Botosani,Romania
Bucuresti,Romania
Saint-Denis,Runion
Atinsk,Russian Federation
Balaiha,Russian Federation
Dzerzinsk,Russian Federation
Elista,Russian Federation
Ivanovo,Russian Federation
Jaroslavl,Russian Federation
Jelets,Russian Federation
Kaliningrad,Russian Federation
Kamyin,Russian Federation
Kirovo-Tepetsk,Russian Federation
Kolpino,Russian Federation
Korolev,Russian Federation
Kurgan,Russian Federation
Kursk,Russian Federation
Lipetsk,Russian Federation
Ljubertsy,Russian Federation
Maikop,Russian Federation
Moscow,Russian Federation
Nabereznyje Telny,Russian Federation
Niznekamsk,Russian Federation
Novoterkassk,Russian Federation
Pjatigorsk,Russian Federation
Serpuhov,Russian Federation
Smolensk,Russian Federation
Syktyvkar,Russian Federation
Teboksary,Russian Federation
Usolje-Sibirskoje,Russian Federation
Zeleznogorsk,Russian Federation
Kingstown,Saint Vincent and the Grenadines
Abha,Saudi Arabia
al-Hawiya,Saudi Arabia
al-Qatif,Saudi Arabia
Jedda,Saudi Arabia
Tabuk,Saudi Arabia
Ziguinchor,Senegal
Bratislava,Slovakia
Boksburg,South Africa
Botshabelo,South Africa
Chatsworth,South Africa
Johannesburg,South Africa
Kimberley,South Africa
Klerksdorp,South Africa
Newcastle,South Africa
Paarl,South Africa
Rustenburg,South Africa
Soshanguve,South Africa
Springs,South Africa
Cheju,South Korea
Kimchon,South Korea
Naju,South Korea
Tonghae,South Korea
Uijongbu,South Korea
A Corua (La Corua),Spain
Donostia-San Sebastin,Spain
Gijn,Spain
Ourense (Orense),Spain
Santiago de Compostela,Spain
Jaffna,Sri Lanka
al-Qadarif,Sudan
Omdurman,Sudan
Malm,Sweden
Basel,Switzerland
Bern,Switzerland
Lausanne,Switzerland
Changhwa,Taiwan
Chiayi,Taiwan
Chungho,Taiwan
Fengshan,Taiwan
Hsichuh,Taiwan
Lungtan,Taiwan
Nantou,Taiwan
Tanshui,Taiwan
Touliu,Taiwan
Tsaotun,Taiwan
Mwanza,Tanzania
Tabora,Tanzania
Zanzibar,Tanzania
Nakhon Sawan,Thailand
Pak Kret,Thailand
Songkhla,Thailand
Nukualofa,Tonga
Sousse,Tunisia
Adana,Turkey
Balikesir,Turkey
Batman,Turkey
Denizli,Turkey
Eskisehir,Turkey
Gaziantep,Turkey
Inegl,Turkey
Kilis,Turkey
Ktahya,Turkey
Osmaniye,Turkey
Sivas,Turkey
Sultanbeyli,Turkey
Tarsus,Turkey
Tokat,Turkey
Usak,Turkey
Ashgabat,Turkmenistan
Funafuti,Tuvalu
Kamjanets-Podilskyi,Ukraine
Konotop,Ukraine
Mukateve,Ukraine
ostka,Ukraine
Simferopol,Ukraine
Sumy,Ukraine
Abu Dhabi,United Arab Emirates
al-Ayn,United Arab Emirates
Sharja,United Arab Emirates
Bradford,United Kingdom
Dundee,United Kingdom
London,United Kingdom
Southampton,United Kingdom
Southend-on-Sea,United Kingdom
Southport,United Kingdom
Stockport,United Kingdom
York,United Kingdom
Akron,United States
Arlington,United States
Augusta-Richmond County,United States
Aurora,United States
Bellevue,United States
Brockton,United States
Cape Coral,United States
Citrus Heights,United States
Clarksville,United States
Compton,United States
Dallas,United States
Dayton,United States
El Monte,United States
Fontana,United States
Garden Grove,United States
Garland,United States
Grand Prairie,United States
Greensboro,United States
Joliet,United States
Kansas City,United States
Lancaster,United States
Laredo,United States
Lincoln,United States
Manchester,United States
Memphis,United States
Peoria,United States
Roanoke,United States
Rockford,United States
Saint Louis,United States
Salinas,United States
San Bernardino,United States
Sterling Heights,United States
Sunnyvale,United States
Tallahassee,United States
Warren,United States
Barcelona,Venezuela
Caracas,Venezuela
Cuman,Venezuela
Maracabo,Venezuela
Ocumare del Tuy,Venezuela
Valencia,Venezuela
Valle de la Pascua,Venezuela
Cam Ranh,Vietnam
Haiphong,Vietnam
Hanoi,Vietnam
Nam Dinh,Vietnam
Nha Trang,Vietnam
Vinh,Vietnam
Charlotte Amalie,Virgin Islands\ U.S.
Aden,Yemen
Hodeida,Yemen
Sanaa,Yemen
Taizz,Yemen
Kragujevac,Yugoslavia
Novi Sad,Yugoslavia
Kitwe,Zambia
